CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
3300.0,2550.0,14790.0,-10.47,1060.25,42800,27.1,-14.1,4864200.0,406650.0,668775.0
4770.0,3795.0,16560.0,-11.43,967.25,42900,33.4,-11.52,4291545.0,226365.0,426450.0
111405.0,28110.0,335190.0,-11.78,880.15,43000,41.2,-9.55,11745645.0,700425.0,1584900.0
9645.0,7350.0,46920.0,-13.44,788.4,43100,50.95,-6.6,6285930.0,237075.0,680340.0
25665.0,20325.0,167190.0,-14.9,698.0,43200,63.3,-4.6,8767500.0,521340.0,873000.0
91140.0,76110.0,466275.0,-16.29,615.6,43300,78.15,-3.04,10442640.0,715035.0,1087755.0
213600.0,192255.0,1206840.0,-17.75,536.75,43400,97.45,-0.56,14122995.0,1122150.0,1476990.0
521610.0,373575.0,5592915.0,-19.77,460.75,43500,121.65,1.71,22164990.0,1511430.0,2407605.0
762825.0,593280.0,6834435.0,-22.19,389.4,43600,151.8,5.2,15976710.0,1179855.0,1588965.0
1055010.0,861510.0,18156120.0,-24.42,324.9,43700,186.0,6.16,29125320.0,1703505.0,2179185.0
2523180.0,2018280.0,37472595.0,-27.21,265.8,43800,227.55,7.92,47720655.0,2541105.0,3398895.0
3309225.0,2564205.0,45975270.0,-30.23,213.4,43900,275.7,9.84,46779015.0,1792470.0,2378190.0
4331400.0,2532300.0,50339910.0,-33.15,168.45,44000,329.75,10.91,40496220.0,1281375.0,2419230.0
2170800.0,1536600.0,20812980.0,-36.48,129.8,44100,391.5,12.03,10988265.0,553380.0,724800.0
1833105.0,1264410.0,19774725.0,-39.63,98.35,44200,460.0,12.66,7265925.0,360960.0,550275.0
2466885.0,1945635.0,17266485.0,-43.03,73.15,44300,534.4,12.96,2107335.0,154020.0,217050.0
1408290.0,846840.0,11657475.0,-45.25,54.75,44400,615.05,13.23,1132065.0,90030.0,153030.0
2171910.0,949350.0,18646605.0,-47.12,40.8,44500,700.15,13.06,1453035.0,72315.0,258780.0
911250.0,396255.0,9062835.0,-48.68,30.2,44600,788.45,12.35,210585.0,9000.0,37320.0
1134450.0,600765.0,8452815.0,-49.72,22.7,44700,882.2,12.22,136575.0,6060.0,40845.0
1166535.0,688950.0,7268445.0,-48.98,17.5,44800,980.0,12.01,71925.0,8565.0,32040.0
