CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
16680.0,-1520.0,20720.0,-15.25,480.0,19000,2.7,-33.33,10687000.0,430160.0,1816440.0
1480.0,1080.0,2600.0,-4.76,430.8,19050,3.2,-31.91,5341160.0,113640.0,542520.0
5600.0,1520.0,8640.0,-19.22,380.35,19100,4.15,-30.83,12336480.0,63600.0,1290160.0
3680.0,1600.0,5560.0,-19.29,340.65,19150,5.7,-27.39,8514560.0,160360.0,986320.0
14360.0,10400.0,94680.0,-21.75,294.35,19200,8.3,-20.95,19019840.0,1122520.0,2172720.0
25680.0,4520.0,111240.0,-24.46,249.6,19250,12.05,-18.31,15886800.0,1375040.0,1630200.0
69000.0,54680.0,497360.0,-27.52,207.15,19300,18.3,-9.41,27952520.0,1403280.0,2108560.0
112560.0,88960.0,1157760.0,-31.65,166.25,19350,27.5,-0.72,18478680.0,642600.0,1115160.0
424800.0,347280.0,7596720.0,-36.2,129.6,19400,40.45,8.16,33267720.0,1605440.0,2229000.0
635560.0,567400.0,14562080.0,-42.04,96.65,19450,57.75,14.24,30406640.0,933880.0,1384880.0
3156360.0,2159080.0,45724840.0,-48.03,69.15,19500,80.55,19.33,45396320.0,1211080.0,2638320.0
1876280.0,1190160.0,26592720.0,-54.37,47.3,19550,108.35,22.71,11229880.0,16960.0,602120.0
3050560.0,1658960.0,31589520.0,-61.04,30.8,19600,142.15,25.41,8003520.0,-52280.0,567280.0
1909840.0,1414320.0,19644640.0,-67.18,19.15,19650,180.35,26.87,1131040.0,3960.0,172200.0
2748800.0,1323240.0,27225560.0,-71.74,11.8,19700,223.3,26.52,727480.0,18840.0,171560.0
2370400.0,1596520.0,20026840.0,-75.99,6.95,19750,270.0,26.52,141560.0,-3720.0,28000.0
2215120.0,1462120.0,21184600.0,-78.26,4.25,19800,313.5,23.77,162240.0,-16200.0,78440.0
1402480.0,697280.0,15872560.0,-78.85,2.75,19850,363.55,22.43,11760.0,240.0,11640.0
1506760.0,-15960.0,15541040.0,-76.47,2.0,19900,415.4,20.93,20440.0,-1480.0,23280.0
545840.0,-813160.0,8835080.0,-69.72,1.65,19950,472.95,20.57,11000.0,3320.0,7320.0
2248720.0,1043960.0,13693560.0,-64.2,1.45,20000,512.75,16.88,16520.0,-2120.0,155200.0
