CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
0.0,0.0,0.8008609826572967,-1.55,359.6,8250,0.6,-45.45,377625.0,35325.0,87225.0
0.0,0.0,0.1545373898644773,6.41,335.4,8275,0.7,-46.15,121575.0,-7200.0,26025.0
0.0,0.0,150.0,-25.27,249.2,8300,0.7,-54.84,1306275.0,122925.0,331050.0
0.0,0.0,0.1944850863800477,1.28,287.85,8325,0.8,-56.76,296550.0,44550.0,65625.0
975.0,975.0,2475.0,-21.61,199.3,8350,1.0,-55.56,1655250.0,109200.0,259950.0
0.0,0.0,0.8174192640271558,-5.13,242.05,8375,1.2,-60.66,1105275.0,100425.0,154800.0
4950.0,3900.0,14100.0,-26.73,151.0,8400,1.75,-56.25,6552525.0,189000.0,632625.0
0.0,0.0,0.4797847791209787,-12.83,198.75,8425,2.95,-43.27,2863875.0,420225.0,462825.0
10575.0,9075.0,41175.0,-35.39,102.25,8450,5.3,-24.82,4947600.0,470550.0,625800.0
2175.0,1650.0,7125.0,-41.11,81.5,8475,9.0,-5.76,2621100.0,139350.0,218175.0
146100.0,119775.0,821025.0,-46.56,61.7,8500,14.7,8.09,8468100.0,443700.0,685200.0
24675.0,22275.0,182175.0,-53.22,45.1,8525,22.8,21.93,2705250.0,144225.0,187125.0
500175.0,464325.0,3420600.0,-59.95,31.0,8550,33.5,32.67,7390725.0,336000.0,491025.0
308250.0,277950.0,2967450.0,-66.53,20.35,8575,47.65,41.82,2841450.0,102225.0,157350.0
988500.0,614625.0,8143275.0,-72.19,12.85,8600,65.25,48.3,5354400.0,20025.0,424950.0
447150.0,326325.0,3927675.0,-78.6,7.5,8625,84.9,46.63,488700.0,-7200.0,33375.0
651000.0,462675.0,5297550.0,-84.2,4.1,8650,106.15,42.96,441525.0,6750.0,46950.0
734775.0,669450.0,3625200.0,-87.33,2.35,8675,126.85,37.88,18375.0,2175.0,5325.0
937500.0,597225.0,6280950.0,-87.88,1.6,8700,155.25,39.99,154050.0,4500.0,21375.0
449700.0,346350.0,3919350.0,-88.4,1.05,8725,132.8,-15.36,75.0,0.0,225.0
556425.0,315075.0,5336100.0,-86.4,0.85,8750,200.85,31.49,11925.0,750.0,2250.0
