CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
0.0,0.0,0.0,0.0,0.0,150,0.35,16.67,550.0,339.0,339.0
0.0,0.0,0.0,0.0,0.0,155,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,160,0.5,400.0,4.0,3.0,3.0
0.0,0.0,0.0,0.0,0.0,165,0.6,200.0,4.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,170,0.95,-20.83,934.0,376.0,376.0
0.0,0.0,0.0,0.0,0.0,175,1.55,158.33,176.0,97.0,97.0
128.0,128.0,173.0,9.03,42.25,180,2.1,-17.65,4323.0,1710.0,1710.0
17.0,17.0,18.0,9.84,38.5,185,3.0,-10.45,455.0,182.0,182.0
122.0,122.0,128.0,10.39,34.0,190,3.8,-14.61,6263.0,1875.0,1875.0
86.0,86.0,85.0,11.5,30.55,195,5.05,-13.68,1195.0,302.0,302.0
896.0,896.0,4061.0,11.34,26.5,200,6.5,-12.75,15003.0,3181.0,3181.0
180.0,180.0,766.0,12.59,23.25,205,8.2,-12.77,4958.0,677.0,677.0
1367.0,1367.0,12904.0,10.74,20.1,210,10.0,-14.53,17306.0,3618.0,3618.0
667.0,667.0,4519.0,11.46,17.5,215,12.25,-14.63,3689.0,785.0,785.0
3222.0,3222.0,16154.0,11.11,15.0,220,14.7,-14.29,7181.0,2191.0,2191.0
510.0,510.0,2815.0,8.7,12.5,225,17.4,-14.07,623.0,422.0,422.0
2243.0,2243.0,8243.0,8.9,10.4,230,20.3,-13.25,1468.0,864.0,864.0
321.0,321.0,1527.0,6.25,8.5,235,23.75,-7.05,122.0,101.0,101.0
1531.0,1531.0,4714.0,2.19,7.0,240,26.45,-13.14,228.0,346.0,346.0
212.0,212.0,678.0,-5.93,5.55,245,31.05,-5.91,51.0,54.0,54.0
2390.0,2390.0,6181.0,-3.06,4.75,250,33.75,-10.48,416.0,595.0,595.0
