CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
123100.0,7700.0,61050.0,-16.78,503.4,18800,20.35,24.85,2020350.0,263650.0,2089250.0
13650.0,-2600.0,4300.0,-19.79,450.0,18850,25.0,23.46,457650.0,9050.0,263300.0
137700.0,7950.0,46650.0,-19.28,413.35,18900,31.0,24.0,1867400.0,17600.0,1641950.0
14500.0,-1800.0,10350.0,-20.56,370.0,18950,38.15,28.02,698050.0,84500.0,304900.0
936550.0,34950.0,621550.0,-22.83,327.7,19000,46.55,28.06,5422700.0,598650.0,4847350.0
21500.0,4400.0,19000.0,-24.75,287.0,19050,56.1,30.31,560200.0,10650.0,338750.0
195000.0,34250.0,256200.0,-26.46,250.1,19100,68.15,34.02,3647200.0,276600.0,1780800.0
39650.0,22150.0,111600.0,-28.5,215.4,19150,82.75,35.88,782800.0,51600.0,356600.0
547250.0,163650.0,1668650.0,-31.23,181.55,19200,100.35,34.25,3789200.0,212850.0,1814900.0
232200.0,134450.0,1137200.0,-33.81,152.2,19250,120.5,35.17,1534500.0,138650.0,506200.0
1827900.0,911850.0,6446900.0,-36.27,125.55,19300,143.75,34.35,7705450.0,170850.0,3017100.0
548500.0,248150.0,1741850.0,-39.06,101.9,19350,169.95,34.51,1092700.0,1650.0,450850.0
2179850.0,155500.0,5137700.0,-41.56,81.0,19400,198.3,34.58,3688750.0,-235850.0,2321650.0
494650.0,62600.0,1179850.0,-44.32,63.0,19450,232.85,35.65,351000.0,-42000.0,218850.0
3936750.0,322400.0,6025650.0,-46.61,48.4,19500,266.2,33.84,2258850.0,-140800.0,2712950.0
765100.0,303950.0,1862150.0,-48.67,36.6,19550,304.1,32.3,104400.0,-10800.0,224250.0
2398400.0,304550.0,4582750.0,-49.86,27.7,19600,345.0,30.71,920700.0,-181550.0,746950.0
643100.0,38500.0,1358300.0,-50.41,21.1,19650,388.4,28.78,29400.0,-4650.0,97750.0
2687600.0,10000.0,3885750.0,-50.15,16.1,19700,435.0,27.81,250750.0,9250.0,1082350.0
538900.0,35700.0,1137400.0,-49.71,12.85,19750,485.0,26.65,29750.0,-550.0,72700.0
2073550.0,95600.0,3089250.0,-48.08,10.15,19800,526.1,23.14,164300.0,-34250.0,973400.0
