CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
225.0,165.0,315.0,-0.53,1188.5,42800,39.3,-9.34,680850.0,19110.0,116550.0
195.0,165.0,270.0,-3.96,1117.45,42900,46.25,-8.33,362730.0,28740.0,91350.0
45510.0,18705.0,84840.0,-5.16,990.0,43000,55.55,-8.18,1709010.0,78780.0,536985.0
1665.0,-180.0,3915.0,-2.69,935.0,43100,66.5,-6.8,617910.0,62745.0,134250.0
2775.0,390.0,12210.0,-5.88,817.3,43200,79.65,-5.29,782865.0,38925.0,171795.0
6195.0,3225.0,22455.0,-5.96,733.55,43300,95.35,-4.07,922305.0,119595.0,241530.0
13815.0,5685.0,64140.0,-7.07,653.25,43400,114.75,-2.05,1125660.0,61650.0,209295.0
115620.0,52410.0,542850.0,-7.87,577.0,43500,137.7,1.03,2171775.0,143520.0,477810.0
63735.0,27150.0,314625.0,-8.79,506.35,43600,165.9,-0.18,1184415.0,48870.0,238515.0
165735.0,94275.0,760635.0,-8.69,438.7,43700,197.05,2.5,1808505.0,91770.0,305805.0
358995.0,240270.0,1866375.0,-10.04,374.1,43800,234.35,2.63,3120165.0,252060.0,462705.0
455640.0,284370.0,3143640.0,-11.47,315.05,43900,275.8,2.45,3745350.0,262185.0,416760.0
1542975.0,973500.0,8568390.0,-12.75,261.4,44000,322.35,3.82,7081065.0,646065.0,1115910.0
428280.0,262005.0,2483775.0,-13.34,215.0,44100,375.3,3.29,1603305.0,125115.0,217560.0
495180.0,260775.0,2478435.0,-14.8,173.55,44200,432.2,1.35,1413705.0,180.0,146895.0
328935.0,99465.0,2003655.0,-14.93,139.0,44300,498.6,3.75,402240.0,22305.0,59055.0
295770.0,70665.0,1743000.0,-16.08,110.15,44400,569.4,4.29,203520.0,11415.0,45345.0
728895.0,291300.0,3106695.0,-18.38,86.35,44500,644.45,5.73,449730.0,47745.0,130560.0
228930.0,99000.0,1322790.0,-19.05,66.5,44600,724.25,4.55,61170.0,3375.0,17775.0
356235.0,156840.0,1602225.0,-21.42,51.0,44700,817.95,5.3,34710.0,1365.0,22065.0
273375.0,92685.0,1245270.0,-20.51,40.3,44800,897.25,5.53,17880.0,1515.0,9090.0
