CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
0.0,0.0,0.0,0.0,0.0,5900,34.6,-10.36,1913.0,158.0,158.0
0.0,0.0,0.0,0.0,0.0,5950,0.0,0.0,0.0,0.0,0.0
116.0,116.0,17.0,6.45,589.5,6000,47.7,3.02,26804.0,1937.0,1937.0
2.0,2.0,2.0,4.41,537.1,6050,0.0,0.0,0.0,0.0,0.0
95.0,95.0,11.0,-3.86,451.0,6100,64.3,8.25,19019.0,672.0,672.0
0.0,0.0,0.0,0.0,0.0,6150,0.0,0.0,0.0,1.0,1.0
172.0,172.0,257.0,-6.93,400.5,6200,88.9,10.85,25521.0,1037.0,1037.0
0.0,0.0,0.0,0.0,0.0,6250,0.0,0.0,0.0,0.0,0.0
96.0,96.0,1187.0,-9.25,330.7,6300,117.0,10.8,31871.0,1527.0,1527.0
0.0,0.0,28.0,1.08,310.0,6350,133.1,7.34,961.0,19.0,19.0
511.0,511.0,26698.0,-9.0,269.9,6400,148.2,7.63,73590.0,3090.0,3090.0
28.0,28.0,1804.0,-11.74,239.0,6450,174.0,8.34,4717.0,138.0,138.0
2977.0,2977.0,98167.0,-9.57,213.5,6500,192.6,9.99,113696.0,3928.0,3928.0
741.0,741.0,8841.0,-12.53,187.1,6550,220.5,7.98,7058.0,151.0,151.0
4392.0,4392.0,82913.0,-10.16,167.2,6600,244.0,8.2,39627.0,1730.0,1730.0
864.0,864.0,6514.0,-13.54,150.0,6650,270.2,5.55,784.0,40.0,40.0
5417.0,5417.0,49763.0,-11.46,129.0,6700,300.1,5.0,10130.0,1205.0,1205.0
571.0,571.0,3878.0,-13.82,116.6,6750,393.6,16.62,12.0,14.0,14.0
5509.0,5509.0,45160.0,-12.6,96.4,6800,373.5,6.78,1522.0,818.0,818.0
423.0,423.0,2346.0,-15.29,88.1,6850,436.6,2.73,2.0,2.0,2.0
3608.0,3608.0,26996.0,-14.5,69.6,6900,440.0,4.79,380.0,350.0,350.0
