CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
3680.0,1560.0,3280.0,-1.88,541.55,19200,4.55,-57.28,5004080.0,184840.0,585280.0
2520.0,0.0,440.0,-5.56,476.0,19250,8.0,-34.69,3519480.0,408400.0,660800.0
7320.0,400.0,7120.0,-3.92,438.3,19300,8.5,-43.33,7605880.0,552360.0,1070080.0
4920.0,-600.0,6600.0,-3.21,396.05,19350,10.5,-42.47,5163360.0,220920.0,475040.0
18360.0,-32080.0,64960.0,-3.47,345.25,19400,14.5,-35.56,9164400.0,454120.0,922600.0
18200.0,-5920.0,38640.0,-4.18,302.45,19450,20.0,-28.7,5863880.0,167600.0,376800.0
103800.0,-56840.0,638480.0,-6.24,255.55,19500,25.9,-27.04,15414480.0,516000.0,1145120.0
83920.0,-63120.0,474760.0,-6.98,215.1,19550,35.0,-22.31,11384880.0,-56520.0,563240.0
362080.0,-123880.0,2056720.0,-11.34,171.55,19600,47.0,-16.89,18034000.0,53040.0,940560.0
130680.0,19360.0,1265080.0,-12.79,138.05,19650,61.45,-13.88,13084720.0,50440.0,478840.0
502560.0,116840.0,5927280.0,-14.86,107.7,19700,82.9,-7.94,18711520.0,195520.0,752000.0
607760.0,366520.0,8774360.0,-13.84,85.0,19750,107.5,-4.02,14609080.0,233120.0,389000.0
1945960.0,1349320.0,21134720.0,-18.88,61.0,19800,135.8,-2.23,20334680.0,733640.0,904160.0
1251760.0,984280.0,16785080.0,-22.68,43.8,19850,160.4,-4.67,9748320.0,109960.0,142120.0
1356360.0,871840.0,22868280.0,-26.74,30.0,19900,199.95,-2.22,8879760.0,160120.0,194800.0
882680.0,548520.0,15198960.0,-29.55,20.5,19950,246.6,2.11,2445680.0,25400.0,39600.0
1379800.0,695160.0,21258440.0,-33.82,13.5,20000,285.0,0.41,1304280.0,16320.0,179320.0
881280.0,648960.0,11588320.0,-36.69,8.8,20050,330.7,-0.56,332240.0,11680.0,12440.0
1620760.0,1129440.0,16734520.0,-38.02,5.95,20100,377.5,1.85,289920.0,7040.0,25360.0
975960.0,894640.0,11820440.0,-46.04,3.75,20150,416.9,1.72,9400.0,5920.0,6120.0
705120.0,449000.0,10330160.0,-41.9,3.05,20200,468.1,0.52,25680.0,4840.0,10760.0
