CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
145550.0,4450.0,63650.0,-6.89,500.3,18900,7.75,-5.49,10414150.0,1231100.0,2734150.0
11400.0,-1050.0,8300.0,-7.22,454.6,18950,10.0,1.01,4019400.0,542900.0,1097100.0
816150.0,89100.0,861300.0,-8.06,407.0,19000,13.3,7.26,15674400.0,1272600.0,6474250.0
17000.0,-3250.0,24050.0,-9.45,359.95,19050,17.1,12.5,4578950.0,166450.0,783550.0
156300.0,3800.0,334800.0,-11.14,313.1,19100,22.15,14.18,13790750.0,394350.0,2547150.0
47350.0,15600.0,90750.0,-10.5,274.55,19150,28.5,14.0,6807450.0,280650.0,1093100.0
539650.0,148600.0,1661650.0,-13.01,231.0,19200,37.5,15.92,21709900.0,1287550.0,4176650.0
184200.0,52300.0,596450.0,-18.49,185.15,19250,49.0,16.95,10931800.0,906350.0,1600800.0
1865900.0,469850.0,6239950.0,-14.47,159.95,19300,64.55,18.33,28999750.0,1047450.0,4665050.0
800200.0,359650.0,4206600.0,-16.62,127.65,19350,81.15,17.02,14636100.0,486500.0,1429850.0
5598050.0,2874300.0,28704200.0,-19.24,98.0,19400,105.0,18.71,44244300.0,1943700.0,5801800.0
2948600.0,1898450.0,20033550.0,-21.78,74.0,19450,129.8,16.2,22352750.0,664250.0,1475000.0
11848200.0,8067400.0,63875950.0,-23.94,54.5,19500,160.0,15.4,43186350.0,3043400.0,5692550.0
2864700.0,1752650.0,24356800.0,-26.85,38.55,19550,193.15,14.29,10564100.0,363550.0,582250.0
6648450.0,3156750.0,43659550.0,-30.82,25.7,19600,232.0,13.03,13812400.0,679650.0,1542000.0
2480300.0,577400.0,17198800.0,-29.33,17.95,19650,274.1,12.66,1789350.0,66700.0,165200.0
5498800.0,1596500.0,28638450.0,-31.7,11.85,19700,317.35,11.47,3709350.0,104900.0,1029350.0
1906800.0,1053050.0,13757050.0,-32.49,8.0,19750,363.2,11.36,542900.0,18100.0,97200.0
4428250.0,1416550.0,21053800.0,-33.33,5.6,19800,413.15,10.16,945950.0,23850.0,912700.0
1442600.0,728000.0,8626500.0,-35.0,3.9,19850,457.0,9.76,38350.0,8950.0,62500.0
4409300.0,2719400.0,16502000.0,-24.72,3.35,19900,511.1,9.64,193100.0,-2050.0,144200.0
